	0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	
0	734.521	734.43	734.337	734.243	734.15	734.057	733.964	733.87	714.471	715.499	708.409	725.87	710.204	692.995	693.076	691.846	691.685	690.488	688.477	686.675	686.825	686.43	686.268	692.973	
20	734.761	734.67	734.577	734.484	734.391	734.297	734.204	731.026	734.017	726.279	717.515	715.182	713.801	713.209	710.649	709.86	714.724	700.4	699.098	706.501	691.161	688.746	688.214	687.957	
40	735.011	734.774	734.827	734.733	734.64	734.547	734.453	734.36	734.065	734.174	719.406	716.882	716.374	715.156	716.039	714.797	714.484	713.614	713.957	713.659	712.883	710.15	706.812	703.899	
60	735.26	734.397	735.076	734.983	734.89	734.796	734.703	734.61	733.486	731.998	726.826	718.495	717.258	716.947	717.456	716.83	716.562	716.189	716.747	716.04	715.77	714.863	713.057	714.116	
80	735.51	735.326	735.232	735.139	735.046	734.952	734.859	734.766	721.923	721.333	720.6	719.9	720.417	718.9	719	719.417	717.4	717	716.7	717.5	716.667	715.2	714.8	
100	735.762	735.668	735.575	735.482	735.389	735.295	735.202	735.109	735.015	734.922	723.333	720.6	719.7	720.077	720.7	721.417	721.7	719.6	719.9	717.692	718.6	716.462	715.231	715.9	
120	736.011	735.918	735.825	735.731	735.638	735.545	735.452	735.358	722.385	735.172	722.615	720.6	719.538	719.9	724	725.9	725	722.9	721.417	720.167	719.417	718.923	717.308	716.667	
140	736.261	736.167	736.074	735.981	735.888	735.794	735.701	724.769	735.514	735.421	721.692	719.1	719.833	722.083	726.615	729.6	730.2	727	724.2	720.4	721.3	720.1	718.6	718.231	
160	736.508	736.417	736.324	736.23	736.137	736.044	735.951	735.857	735.764	729.263	733.442	721.936	723.179	726.11	729.29	731.509	733.507	731.46	728.202	723.547	720.705	719.241	717.853	719.94	
180	736.757	736.667	736.573	736.48	736.387	736.293	736.2	736.107	734.6	729.759	731.627	727.154	728.572	730.923	734.401	736.468	737.166	735.473	731.826	728.206	722.675	720.05	719.698	719.642	
200	737.007	736.916	736.823	736.729	736.636	736.543	736.45	736.356	736.207	730.171	733.358	732.968	732.749	735.547	737.806	741.754	742.052	739.651	736.374	732.1	727.176	721.351	721.029	720.649	
220	737.256	737.166	737.072	736.979	736.886	736.792	736.699	736.606	722.815	732.118	729.2	731.813	735.071	740.486	743.402	746.926	747.457	744.581	740.398	735.287	729.419	722.878	722.735	723.074	
240	737.506	737.415	737.322	737.229	737.135	737.042	736.949	736.855	736.708	729.564	730.292	732.216	738.37	743.194	748.328	751.614	752.807	748.795	743.622	737.516	732.642	727.463	725.376	723.846	
260	737.755	737.665	737.571	737.478	737.385	737.292	737.198	737.105	737.012	735.099	735.391	735.749	741.392	746.168	752.002	754.898	756.169	751.816	745.919	740.804	734.461	729.361	726.15	724.231	
280	738.005	737.914	737.821	737.728	737.634	737.541	737.448	737.354	737.261	736.123	737.075	736.451	741.903	748.407	752.408	753.63	754.798	754.241	748.58	743.013	736.598	730.835	726.8	725.114	
